device_vendor,device_type,[HostAndAudience]AudioAndVideoDurationMinutes
samsung,sm-x218u,180763.75
samsung,sm-s926b,180546.4
samsung,sm-g998u,180493.1333333330
samsung,sm-s721b,180333.01666666700
samsung,sm-g975u,180212.8666666670
samsung,sm-m145f,180082.41666666700
samsung,sm-s721b,180053.80000000000
samsung,sm-a032f,178960.5833333330
samsung,sm-g965f,178157.36666666700
samsung,sm-t227u,177318.50000000000
samsung,sm-a145p,177140.28333333300
samsung,sm-s916u1,176541.05
samsung,sm-a022f,176201.10000000000
samsung,sc-56b,174415.15000000000
samsung,sm-m315f,174328.61666666700
samsung,sm-a546u,173526.08333333300
google,pixel 9,173334.78333333300
samsung,sm-g935f,172628.5
samsung,sm-e135f,172526.45000000000
samsung,sm-m115f,171892.50000000000
samsung,sm-a025f,171854.90000000000
samsung,sm-a536e,170510.6
samsung,sm-a536b,170403.3666666670
samsung,sm-s711u,170394.55000000000
samsung,sm-a346e,170253.0000000000
samsung,sm-s908u1,169629.31666666700
samsung,sm-m336bu,169113.53333333300
samsung,sm-g780f,168790.8166666670
google,pixel 8,168762.21666666700
samsung,sm-g988b,168635.05000000000
samsung,sm-f127g,168433.65000000000
samsung,sm-a315g,167780.05
samsung,sm-a136u,167646.08333333300
samsung,sm-n981u,167559.3666666670
google,pixel 8a,167519.0666666670
samsung,sm-s711u,167502.7666666670
samsung,sm-m115f,167467.5833333330
samsung,sm-g990b,167273.8833333330
samsung,sm-m336bu,166869.1166666670
samsung,sm-a346b,166757.3833333330
samsung,sm-s928b,166607.73333333300
samsung,sm-m325f,166206.1
samsung,sm-s906u,165834.4833333330
samsung,sm-a346b,165632.68333333300
samsung,sm-s908e,165393.3500000000
samsung,sm-a546b,165277.26666666700
samsung,sm-s926b,165012.95000000000
samsung,sm-g973u1,164594.15
samsung,sm-m045f,164135.05000000000
samsung,sm-a725f,164114.58333333300
samsung,sm-s921u1,164083.5833333330
samsung,sm-a326b,163731.53333333300
samsung,sm-n986u,163390.00000000000
samsung,scg13,163387.30000000000
samsung,sm-a107f,163268.46666666700
samsung,sm-m146b,163198.65000000000
samsung,sm-g996b,162516.26666666700
samsung,sm-s916b,162387.70000000000
samsung,sm-t510,161851.7833333330
samsung,sm-g955f,161475.21666666700
samsung,sm-n975f,160552.9166666670
samsung,sm-s721b,160245.40000000000
samsung,sm-a315g,160041.41666666700
samsung,sm-a146p,159858.0833333330
samsung,sm-s916u,159805.98333333300
samsung,sm-e156b,158997.33333333300
samsung,sm-j600g,158400.75
samsung,sm-n975u,158072.7166666670
samsung,sm-n770f,158060.1166666670
samsung,sm-s916b,157610.20000000000
samsung,sm-g990u2,156799.0166666670
samsung,sm-x218u,155655.01666666700
samsung,sm-g996u1,155579.6500000000
google,pixel 9 pro xl,155328.78333333300
samsung,sm-j701f,154668.11666666700
google,pixel 6,154522.8333333330
samsung,sm-s911n,153905.75000000000
samsung,sm-a115f,153689.05
samsung,sm-a256e,152986.78333333300
samsung,sm-a315g,152766.21666666700
samsung,sm-a115f,152526.8833333330
samsung,sm-s901b,152404.1166666670
samsung,sm-g610f,152198.95
samsung,sm-a507fn,151478.95
samsung,sm-g973u,151371.65000000000
samsung,sm-t225,150887.68333333300
google,pixel 8 pro,150825.5
samsung,sm-n975f,150804.10000000000
samsung,sm-g955u,150500.2333333330
samsung,sm-a225m,150384.28333333300
samsung,sm-n960u,150307.30000000000
samsung,sm-s918b,150231.35000000000
samsung,sm-m215f,150219.46666666700
samsung,sm-s906u,149876.91666666700
sharp,sh-51c,148839.08333333300
samsung,sm-g970u,148723.7666666670
samsung,sm-a165f,148590.0166666670
samsung,sm-s938b,148396.36666666700
samsung,sm-a205u,148124.46666666700
samsung,sm-a325m,147380.51666666700
samsung,sm-g973f,147136.61666666700
samsung,sm-a145p,146904.28333333300
samsung,sm-n960f,146860.13333333300
samsung,sm-s938u,146675.11666666700
samsung,sm-a705fn,146183.23333333300
samsung,sm-s928u1,145988.80000000000
samsung,sm-a145m,145351.63333333300
samsung,sm-a546u,145185.9166666670
samsung,sm-a025f,144940.35000000000
samsung,sm-a536e,144500.53333333300
samsung,sm-a145r,144183.08333333300
samsung,sm-e045f,144120.93333333300
samsung,sm-a326b,143662.18333333300
samsung,sm-f936b,143656.78333333300
samsung,sm-a256b,143627.56666666700
samsung,sm-m315f,143447.15
google,pixel 7 pro,143395.88333333300
samsung,sm-a326u,142832.00000000000
samsung,sm-a507fn,142749.71666666700
samsung,sm-g975u1,142310.5166666670
samsung,sm-m215f,141907.2333333330
samsung,sm-t500,141674.5
samsung,sm-g781w,141421.28333333300
samsung,sm-a256u,141277.01666666700
samsung,sm-a236e,140953.3333333330
samsung,sm-m515f,140780.81666666700
samsung,sm-m325f,140622.6333333330
samsung,sm-s901e,140410.1500000000
samsung,scg20,140230.86666666700
samsung,sm-a750f,140223.46666666700
samsung,sm-m346b,140043.20000000000
samsung,sm-x518u,139936.8333333330
samsung,sm-f946b,139016.85
samsung,sm-a556b,138888.75000000000
samsung,sm-n960f,138786.48333333300
samsung,sm-a736b,138369.33333333300
samsung,sm-a035m,138354.68333333300
